ts,value
2019-06-20 13:00:00,502.3894444
2019-06-20 14:00:00,500.20305559999997
2019-06-20 15:00:00,496.9725
2019-06-20 16:00:00,488.665
2019-06-20 17:00:00,485.2472222
2019-06-20 18:00:00,464.38611110000005
2019-06-20 19:00:00,420.42638889999995
2019-06-20 20:00:00,375.2925
2019-06-20 21:00:00,345.7575
2019-06-20 22:00:00,336.3322222
2019-06-20 23:00:00,355.8938889
2019-06-21 00:00:00,357.8947222
2019-06-21 01:00:00,347.04305560000006
2019-06-21 02:00:00,346.4838889
2019-06-21 03:00:00,348.6713889
2019-06-21 04:00:00,356.78583330000004
2019-06-21 05:00:00,366.6983333
2019-06-21 06:00:00,376.91333330000003
2019-06-21 07:00:00,410.7763889
2019-06-21 08:00:00,441.9222222
2019-06-21 09:00:00,466.59055559999996
2019-06-21 10:00:00,478.8075
2019-06-21 11:00:00,487.91583330000003
2019-06-21 12:00:00,477.62388889999994
2019-06-21 13:00:00,467.3847222
2019-06-21 14:00:00,462.2197222
2019-06-21 15:00:00,460.54333330000003
2019-06-21 16:00:00,473.03944440000004
2019-06-21 17:00:00,494.3802778
2019-06-21 18:00:00,486.1655556
2019-06-21 19:00:00,454.62111110000006
2019-06-21 20:00:00,396.36944439999996
2019-06-21 21:00:00,357.1858333
2019-06-21 22:00:00,348.94694439999995
2019-06-21 23:00:00,350.9788889
2019-06-22 00:00:00,349.0163889
2019-06-22 01:00:00,342.55805560000005
2019-06-22 02:00:00,346.4225
2019-06-22 03:00:00,361.6911111
2019-06-22 04:00:00,374.6777778
2019-06-22 05:00:00,391.6627778
2019-06-22 06:00:00,403.2191667
2019-06-22 07:00:00,418.8911111
2019-06-22 08:00:00,470.48444440000003
2019-06-22 09:00:00,518.5422222
2019-06-22 10:00:00,545.1944444000001
2019-06-22 11:00:00,559.5561111000001
2019-06-22 12:00:00,555.7852778
2019-06-22 13:00:00,549.6916667
2019-06-22 14:00:00,544.1286111000001
2019-06-22 15:00:00,530.9222222
2019-06-22 16:00:00,520.4013888999999
2019-06-22 17:00:00,524.625
2019-06-22 18:00:00,503.0386111
2019-06-22 19:00:00,466.2619444
2019-06-22 20:00:00,419.4233333
2019-06-22 21:00:00,384.79083330000003
2019-06-22 22:00:00,323.2386111
2019-06-22 23:00:00,326.65416669999996
2019-06-23 00:00:00,323.6747222
2019-06-23 01:00:00,317.4261111
2019-06-23 02:00:00,319.5369444
2019-06-23 03:00:00,352.8661111
2019-06-23 04:00:00,401.545
2019-06-23 05:00:00,423.3694444
2019-06-23 06:00:00,438.09138889999997
2019-06-23 07:00:00,459.16
2019-06-23 08:00:00,500.3577778
2019-06-23 09:00:00,533.4177778
2019-06-23 10:00:00,563.7283332999999
2019-06-23 11:00:00,575.9977778
2019-06-23 12:00:00,568.6433333
2019-06-23 13:00:00,554.1663888999999
2019-06-23 14:00:00,558.05
2019-06-23 15:00:00,549.9041667
2019-06-23 16:00:00,541.6144444
